State,District,Grp_Buy,Strata75,Strata50,Inc_Republican,Hisp_To_2004,Hisp_To_2002,Hisp_To_2006,To_Change_2002,Statewide_Race_2006,Hisp_Perc_Reg,Nonhisp_To_2006,Nonhisp_To_2002,Nonhisp_To_2004,Nonhisp_Perc_Reg
Texas,32,0,0,1,1,42.93000031,24.80999947,23.39999962,-1.409999847,1,12,45,39,66,88
Utah,1,0,0,1,1,42.38999939,19.65999985,23.45000076,3.790000916,1,2,36,18,27,98
Utah,2,0,0,1,0,51.93999863,28.21999931,33.56000137,5.34000206,1,1,42,25,38,99
Utah,3,50,0,1,1,43.49000168,19.54000092,24.45000076,4.909999847,1,2,37,16,29,98
Virginia,1,0,1,0,1,61.90000153,18.29999924,40.09999847,21.79999924,1,2,50,26,64,98
Virginia,4,0,1,0,1,62.09999847,19.20000076,42.59999847,23.39999771,1,1,50,26,66,99
Virginia,5,0,0,0,1,61.90000153,25.29999924,46.20000076,20.90000153,1,1,51,30,64,99
Virginia,7,0,0,0,1,64.30000305,22.29999924,46.29999924,24,1,1,57,32,71,99
Virginia,8,0,0,1,0,60.90000153,23.79999924,42,18.20000076,1,4,52,32,64,96
Virginia,9,0,0,0,0,63.09999847,27.70000076,49.40000153,21.70000076,1,0.005,46,30,60,99.99500275
Virginia,10,0,0,1,1,56,18.79999924,37.40000153,18.60000229,1,4,50,29,64,96
Virginia,11,50,0,1,1,60.29999924,21,39.5,18.5,1,5,53,34,68,95
