treat_cond,prop_teammates_other_caste,prop_opponents_other_caste,baseline_prop_other_caste_nbrs,baseline_bowl_test_speed,n_other_caste_friends,n_other_caste_future_friends,bins_teammates_other_caste,bins_opponents_other_caste,bin_midpoint_opponents
team_mix,0.75,0.7749999761581421,0.40740740299224854,82,0,2,50-75%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.675000011920929,0.16129031777381897,85,2,7,NA,"(0.65,0.675]",0.675000011920929
team_mix,0.75,0.6000000238418579,0.4571428596973419,81,0,8,50-75%,"(0.575,0.625]",0.615526324824283
team_mix,0.75,0.5249999761581421,0.47058823704719543,86,2,2,50-75%,"(0.35,0.525]",0.49381187086058137
team_mix,0.75,0.625,0.47826087474823,86,8,15,50-75%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.5249999761581421,0.14814814925193787,86,6,12,NA,"(0.35,0.525]",0.49381187086058137
team_mix,0.75,0.42500001192092896,0.36666667461395264,97,6,31,50-75%,"(0.35,0.525]",0.49381187086058137
control,NA,NA,0.47058823704719543,106,3,5,NA,NA,NA
control,NA,NA,0.4000000059604645,76,4,4,NA,NA,NA
control,NA,NA,0.261904776096344,96,0,0,NA,NA,NA
control,NA,NA,0.47058823704719543,62,1,3,NA,NA,NA
team_hom,0,0.800000011920929,0,98,1,1,NA,"(0.775,0.8]",0.800000011920929
control,NA,NA,0.5357142686843872,70,NA,NA,NA,NA,NA
team_hom,0,0.5249999761581421,0.36666667461395264,86,2,5,NA,"(0.35,0.525]",0.49381187086058137
team_mix,0.5,0.800000011920929,0.5357142686843872,79,0,1,25-50%,"(0.775,0.8]",0.800000011920929
team_mix,0.5,0.6499999761581421,0.07692307978868484,81,19,29,25-50%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.14814814925193787,93,8,23,NA,NA,NA
team_hom,0,0.574999988079071,0.261904776096344,72,0,3,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.35483869910240173,79,4,8,NA,NA,NA
team_mix,0.75,0.675000011920929,0.07692307978868484,74,6,11,50-75%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.6499999761581421,0.5357142686843872,71,3,7,NA,"(0.625,0.65]",0.6499999761581421
team_hom,0,0.800000011920929,0.8461538553237915,105,2,7,NA,"(0.775,0.8]",0.800000011920929
team_mix,0.25,0.7250000238418579,0.261904776096344,80,0,2,0-25%,"(0.7,0.725]",0.7250000238418579
team_mix,1,0.675000011920929,0,82,0,0,75-100%,"(0.65,0.675]",0.675000011920929
team_mix,1,0.8500000238418579,0.5357142686843872,79,7,13,75-100%,"(0.8,0.975]",0.8523437511175871
team_mix,0.5,0.7749999761581421,0.14814814925193787,86,0,0,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.824999988079071,0.40740740299224854,82,12,25,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.75,0.5249999761581421,0.16129031777381897,90,4,6,50-75%,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.824999988079071,0.07692307978868484,88,4,5,NA,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.14814814925193787,96,1,2,NA,NA,NA
control,NA,NA,0.4000000059604645,82,2,5,NA,NA,NA
control,NA,NA,0.16129031777381897,86,0,0,NA,NA,NA
team_hom,0,0.675000011920929,0.35483869910240173,96,4,5,NA,"(0.65,0.675]",0.675000011920929
team_hom,0,0.7250000238418579,0.4571428596973419,75,1,1,NA,"(0.7,0.725]",0.7250000238418579
team_mix,0.75,0.675000011920929,0.5714285969734192,87,1,5,50-75%,"(0.65,0.675]",0.675000011920929
team_mix,0.5,0.7250000238418579,0.261904776096344,69,0,1,25-50%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.703125,112,2,2,NA,NA,NA
control,NA,NA,0,95,5,8,NA,NA,NA
team_mix,0.5,0.699999988079071,0,81,0,0,25-50%,"(0.675,0.7]",0.699999988079071
team_mix,0.25,0.7250000238418579,0.6567164063453674,88,4,7,0-25%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.703125,88,1,2,NA,NA,NA
team_mix,1,0.9750000238418579,0,93,1,11,75-100%,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.6499999761581421,0.6567164063453674,84,NA,NA,NA,"(0.625,0.65]",0.6499999761581421
team_mix,1,0.699999988079071,0.07692307978868484,86,2,11,75-100%,"(0.675,0.7]",0.699999988079071
control,NA,NA,0,89,5,8,NA,NA,NA
team_hom,0,0.800000011920929,0,80,5,14,NA,"(0.775,0.8]",0.800000011920929
control,NA,NA,0.4571428596973419,69,8,26,NA,NA,NA
team_hom,0,0.6499999761581421,0.6567164063453674,87,3,10,NA,"(0.625,0.65]",0.6499999761581421
team_mix,0.5,0.75,0,86,4,4,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.6499999761581421,0.47058823704719543,92,12,12,NA,"(0.625,0.65]",0.6499999761581421
team_mix,1,0.574999988079071,0.07692307978868484,88,0,0,75-100%,"(0.525,0.575]",0.5640410944207074
team_mix,0.75,0.6000000238418579,0.4571428596973419,87,1,2,50-75%,"(0.575,0.625]",0.615526324824283
team_mix,0.5,0.7749999761581421,0.5357142686843872,82,5,15,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.7250000238418579,0.4571428596973419,56,4,6,NA,"(0.7,0.725]",0.7250000238418579
team_mix,0.5,0.75,0.75,77,2,8,25-50%,"(0.725,0.775]",0.7600446332778249
team_mix,0.75,0.625,0.47826087474823,105,3,6,50-75%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.261904776096344,92,2,4,NA,NA,NA
team_mix,0.75,0.6499999761581421,0,81,8,20,50-75%,"(0.625,0.65]",0.6499999761581421
team_hom,0,0.550000011920929,0.703125,92,0,0,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0,86,2,13,NA,NA,NA
control,NA,NA,0.5714285969734192,88,NA,NA,NA,NA,NA
team_mix,0.25,0.625,0.14814814925193787,90,1,5,0-25%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.3181818127632141,92,0,0,NA,NA,NA
control,NA,NA,0.5357142686843872,70,2,7,NA,NA,NA
control,NA,NA,0.4000000059604645,88,3,5,NA,NA,NA
team_mix,0.75,0.875,0.35483869910240173,105,7,15,50-75%,"(0.8,0.975]",0.8523437511175871
team_mix,0.75,0.6000000238418579,0.6567164063453674,100,4,11,50-75%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.675000011920929,0.35483869910240173,84,6,8,NA,"(0.65,0.675]",0.675000011920929
team_mix,1,0.6499999761581421,0.16129031777381897,75,2,4,75-100%,"(0.625,0.65]",0.6499999761581421
team_mix,0.25,0.625,0.14814814925193787,74,3,12,0-25%,"(0.575,0.625]",0.615526324824283
team_mix,0.5,0.699999988079071,0.47826087474823,93,0,12,25-50%,"(0.675,0.7]",0.699999988079071
team_mix,1,0.4749999940395355,0.8214285373687744,84,15,20,75-100%,"(0.35,0.525]",0.49381187086058137
team_hom,0,0.6499999761581421,0.16129031777381897,96,8,22,NA,"(0.625,0.65]",0.6499999761581421
team_mix,0.5,0.675000011920929,0.5714285969734192,85,NA,NA,25-50%,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.16129031777381897,73,0,0,NA,NA,NA
control,NA,NA,0.36666667461395264,66,0,0,NA,NA,NA
team_mix,0.5,0.6000000238418579,0.47826087474823,88,4,7,25-50%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.36666667461395264,88,1,1,NA,NA,NA
control,NA,NA,0.47826087474823,96,0,0,NA,NA,NA
team_mix,0.5,0.699999988079071,0.696969747543335,93,NA,NA,25-50%,"(0.675,0.7]",0.699999988079071
team_mix,1,0.6499999761581421,0.4571428596973419,99,7,24,75-100%,"(0.625,0.65]",0.6499999761581421
team_mix,0.75,0.675000011920929,0.261904776096344,90,1,4,50-75%,"(0.65,0.675]",0.675000011920929
team_hom,0,0.625,0.36666667461395264,81,0,2,NA,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.703125,89,3,6,NA,NA,NA
control,NA,NA,0.761904776096344,85,0,4,NA,NA,NA
control,NA,NA,0.6567164063453674,82,0,0,NA,NA,NA
team_hom,0,0.675000011920929,0.4571428596973419,72,2,17,NA,"(0.65,0.675]",0.675000011920929
control,NA,NA,0.35483869910240173,86,2,3,NA,NA,NA
team_hom,0,0.6499999761581421,0.6567164063453674,85,0,4,NA,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.75,72,0,6,NA,NA,NA
control,NA,NA,0.16129031777381897,74,2,3,NA,NA,NA
team_mix,0.5,0.75,0.35483869910240173,82,8,13,25-50%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.875,0.3181818127632141,82,2,2,NA,"(0.8,0.975]",0.8523437511175871
team_mix,0.25,0.7250000238418579,0.261904776096344,86,0,0,0-25%,"(0.7,0.725]",0.7250000238418579
control,NA,NA,0.261904776096344,64,0,0,NA,NA,NA
team_hom,0,0.550000011920929,0.261904776096344,78,0,0,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.9230769276618958,93,13,16,NA,NA,NA
team_mix,0.75,0.75,0.8461538553237915,87,9,15,50-75%,"(0.725,0.775]",0.7600446332778249
team_mix,0.75,0.6000000238418579,0.16129031777381897,90,2,3,50-75%,"(0.575,0.625]",0.615526324824283
team_hom,0,0.550000011920929,0.261904776096344,76,5,17,NA,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0.36666667461395264,90,3,8,NA,NA,NA
control,NA,NA,0.8461538553237915,73,1,1,NA,NA,NA
control,NA,NA,0.696969747543335,82,11,23,NA,NA,NA
control,NA,NA,0.6567164063453674,94,0,0,NA,NA,NA
team_mix,0.5,0.699999988079071,0.5357142686843872,65,1,1,25-50%,"(0.675,0.7]",0.699999988079071
team_hom,0,0.75,0.6567164063453674,97,0,5,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.6567164063453674,100,0,0,NA,NA,NA
